Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Alice Through the Looking Glass,26858726,77041381,34.9,3763,7137,27-05-2016,Walt Disney Studios Motion Pictures
Underworld: Evolution,26857181,62318875,43.1,3207,8374,20-01-2006,Screen Gems
The Curious Case of Benjamin Button,26853816,127509326,21.1,2988,8987,25-12-2008,Paramount Pictures
Zombieland: Double Tap,26803104,73123082,36.6,3468,7728,18-10-2019,Sony Pictures Releasing
Knives Out,26769548,165363234,16.2,3461,7734,27-11-2019,Lionsgate Films
Flubber,26725207,92977226,28.7,2641,10119,26-11-1997,Walt Disney Studios Motion Pictures
Dawn of the Dead,26722575,59020957,45.3,2745,9735,19-03-2004,Universal Pictures
The Sixth Sense,26681262,293506292,9.1,2161,12346,06-08-1999,Walt Disney Studios Motion Pictures
Resident Evil: Afterlife,26650264,60128566,44.3,3203,8320,10-09-2010,Screen Gems
The House with a Clock in Its Walls,26608020,68549695,38.8,3592,7407,21-09-2018,Universal Pictures
The Campaign,26588460,86907746,30.6,3205,8295,10-08-2012,Warner Bros.
Spy Kids,26546881,112719001,23.6,3104,8552,30-03-2001,Miramax
The Pursuit of Happyness,26541709,163566459,16.2,2852,9306,15-12-2006,Sony Pictures Releasing
Crazy Rich Asians,26510140,174532921,15.2,3384,7833,15-08-2018,Warner Bros.
The Exorcist: Believer,26497600,65537395,40.4,3663,7233,06-10-2023,Universal Pictures
Borat,26455463,128505958,20.6,837,31607,03-11-2006,Twentieth Century Fox
All Eyez on Me,26435354,44922302,58.8,2471,10698,16-06-2017,Lionsgate Films
We're the Millers,26419396,150394119,17.6,3260,8104,07-08-2013,Warner Bros.
Hollow Man,26414386,73209340,36.1,2956,8935,04-08-2000,Sony Pictures Releasing
Don't Breathe,26411706,89217875,29.6,3051,8656,26-08-2016,Screen Gems
Halloween,26362367,58272029,45.2,3472,7592,31-08-2007,-
Beverly Hills Cop II,26348555,153665036,17.2,2326,11327,20-05-1987,Paramount Pictures
The Curse of La Llorona,26347631,54733739,48.1,3372,7813,19-04-2019,Warner Bros.
Bridesmaids,26247410,169106725,15.5,2918,8995,13-05-2011,Universal Pictures
Anchorman 2: The Legend Continues,26232425,125168368,21,3507,7480,18-12-2013,Paramount Pictures
Bolt,26223128,114053579,23,3651,7182,21-11-2008,Walt Disney Studios Motion Pictures
The Suicide Squad,26205415,55817425,47,4002,6548,06-08-2021,Warner Bros.
GoldenEye,26205007,106429941,24.6,2667,9825,17-11-1995,Metro-Goldwyn-Mayer
The Golden Compass,26125000,70107728,37.3,3528,7405,07-12-2007,New Line Cinema
The Help,26044590,169708112,15.4,2534,10278,10-08-2011,Walt Disney Studios Motion Pictures
Happy Death Day,26039025,55683845,46.8,3149,8268,13-10-2017,Universal Pictures
